"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.1","Answer.10","Answer.100","Answer.101","Answer.102","Answer.103","Answer.104","Answer.105","Answer.106","Answer.107","Answer.108","Answer.109","Answer.11","Answer.110","Answer.111","Answer.112","Answer.113","Answer.114","Answer.115","Answer.116","Answer.117","Answer.118","Answer.119","Answer.12","Answer.120","Answer.121","Answer.122","Answer.123","Answer.124","Answer.125","Answer.126","Answer.127","Answer.128","Answer.129","Answer.13","Answer.130","Answer.131","Answer.132","Answer.133","Answer.134","Answer.135","Answer.136","Answer.137","Answer.138","Answer.139","Answer.14","Answer.140","Answer.141","Answer.142","Answer.143","Answer.144","Answer.145","Answer.146","Answer.147","Answer.148","Answer.149","Answer.15","Answer.150","Answer.151","Answer.152","Answer.153","Answer.154","Answer.155","Answer.156","Answer.157","Answer.158","Answer.159","Answer.16","Answer.160","Answer.161","Answer.162","Answer.163","Answer.164","Answer.165","Answer.166","Answer.167","Answer.168","Answer.169","Answer.17","Answer.170","Answer.171","Answer.172","Answer.173","Answer.174","Answer.175","Answer.176","Answer.177","Answer.178","Answer.179","Answer.18","Answer.180","Answer.181","Answer.182","Answer.183","Answer.184","Answer.185","Answer.186","Answer.187","Answer.188","Answer.189","Answer.19","Answer.190","Answer.191","Answer.192","Answer.193","Answer.194","Answer.195","Answer.196","Answer.197","Answer.198","Answer.199","Answer.2","Answer.20","Answer.200","Answer.201","Answer.202","Answer.203","Answer.204","Answer.205","Answer.206","Answer.207","Answer.208","Answer.209","Answer.21","Answer.210","Answer.211","Answer.212","Answer.213","Answer.214","Answer.215","Answer.216","Answer.217","Answer.218","Answer.219","Answer.22","Answer.220","Answer.221","Answer.222","Answer.223","Answer.224","Answer.225","Answer.226","Answer.227","Answer.228","Answer.229","Answer.23","Answer.230","Answer.231","Answer.232","Answer.233","Answer.234","Answer.235","Answer.236","Answer.237","Answer.238","Answer.239","Answer.24","Answer.240","Answer.241","Answer.242","Answer.243","Answer.244","Answer.245","Answer.246","Answer.247","Answer.248","Answer.249","Answer.25","Answer.250","Answer.251","Answer.252","Answer.253","Answer.254","Answer.255","Answer.256","Answer.257","Answer.258","Answer.259","Answer.26","Answer.260","Answer.261","Answer.262","Answer.263","Answer.264","Answer.265","Answer.266","Answer.267","Answer.268","Answer.269","Answer.27","Answer.270","Answer.271","Answer.272","Answer.273","Answer.274","Answer.275","Answer.276","Answer.277","Answer.278","Answer.279","Answer.28","Answer.280","Answer.281","Answer.282","Answer.283","Answer.284","Answer.285","Answer.286","Answer.287","Answer.288","Answer.289","Answer.29","Answer.290","Answer.291","Answer.292","Answer.293","Answer.294","Answer.295","Answer.296","Answer.297","Answer.298","Answer.299","Answer.3","Answer.30","Answer.300","Answer.301","Answer.302","Answer.303","Answer.304","Answer.305","Answer.306","Answer.307","Answer.308","Answer.309","Answer.31","Answer.310","Answer.311","Answer.32","Answer.33","Answer.34","Answer.35","Answer.36","Answer.37","Answer.38","Answer.39","Answer.4","Answer.40","Answer.41","Answer.42","Answer.43","Answer.44","Answer.45","Answer.46","Answer.47","Answer.48","Answer.49","Answer.5","Answer.50","Answer.51","Answer.52","Answer.53","Answer.54","Answer.55","Answer.56","Answer.57","Answer.58","Answer.59","Answer.6","Answer.60","Answer.61","Answer.62","Answer.63","Answer.64","Answer.65","Answer.66","Answer.67","Answer.68","Answer.69","Answer.7","Answer.70","Answer.71","Answer.72","Answer.73","Answer.74","Answer.75","Answer.76","Answer.77","Answer.78","Answer.79","Answer.8","Answer.80","Answer.81","Answer.82","Answer.83","Answer.84","Answer.85","Answer.86","Answer.87","Answer.88","Answer.89","Answer.9","Answer.90","Answer.91","Answer.92","Answer.93","Answer.94","Answer.95","Answer.96","Answer.97","Answer.98","Answer.99","Answer.Example","Answer.Q1","Answer.Q2","Answer.Q3","Answer.Q4","Answer.ex","Answer.ex{count}","Answer.ex{stim_count}","Approve","Reject"
"2HFULRGNTBJ3ZRA3MBG7S62KC60T7O","2FYCOW0LGRZ3LHOL28XVSUZWDD08ZC","Survey on Word Pair Relationship --Native English Speakers ONLY","We are interested in how related people find these pairs of words to be.","words, survey, simple","$1.00","Wed Oct 19 22:11:42 GMT 2011","20","","1800","604800","Wed Oct 26 22:11:42 GMT 2011","0","","21T4IXKO2L92UJ92R2O33OCDONVDC6","A7U359NTX7VBZ","Approved","Wed Oct 19 22:13:12 GMT 2011","Wed Oct 19 22:33:47 GMT 2011","Wed Oct 26 15:33:47 PDT 2011","Thu Oct 20 09:17:24 PDT 2011","","","1235","100% (1/1)","100% (1/1)","0% (0/0)","1","3","","1","4","","4","3","4","","3","4","1","4","1","7","","3","4","3","4","4","","3","1","1","1","7","7","","","4","4","1","","","1","","3","","1","3","7","7","4","1","1","","","7","","1","1","7","7","","4","","1","1","1","4","7","7","","1","1","1","","1","7","4","7","7","","4","3","","3","3","","4","4","7","3","7","4","","7","","","4","","1","1","1","1","1","3","","4","7","","7","7","7","","7","3","4","","","4","7","4","","1","4","1","1","","","3","1","3","7","4","","","7","7","4","3","4","4","","7","4","3","3","1","","3","4","3","3","4","3","4","","1","3","7","3","","3","3","4","7","4","4","4","4","3","7","3","","","4","7","7","7","","3","7","4","4","4","1","1","3","","1","","4","4","","1","1","1","","1","","1","3","1","","1","3","4","4","4","4","1","7","7","","1","","1","","1","1","3","4","1","4","","1","1","1","","3","","1","","1","1","7","1","1","1","1","","1","1","1","4","","3","1","7","","7","","1","4","","7","7","","4","4","3","7","4","7","4","3","1","3","1","4","4","","3","4","","4","4","3","3","","","1","7","","4","1","4","1","","7","1","3","4","7","4","3","1","1","7","1","1","1","","3","1","1","1","3","3","3","","4","","","3","3","4","4","1","Choice1","27","English","USA","7","","5"
"2HFULRGNTBJ3ZRA3MBG7S62KC60T7O","2FYCOW0LGRZ3LHOL28XVSUZWDD08ZC","Survey on Word Pair Relationship --Native English Speakers ONLY","We are interested in how related people find these pairs of words to be.","words, survey, simple","$1.00","Wed Oct 19 22:11:42 GMT 2011","20","","1800","604800","Wed Oct 26 22:11:42 GMT 2011","0","","23Q24E6AUBXH9XEDWH090BZXME40W9","A1ZMI2TOQ8IQKI","Approved","Wed Oct 19 22:19:47 GMT 2011","Wed Oct 19 22:33:31 GMT 2011","Wed Oct 26 15:33:31 PDT 2011","Thu Oct 20 09:17:24 PDT 2011","","","824","100% (1/1)","100% (1/1)","0% (0/0)","1","1","1","","1","3","","1","1","3","1","","1","1","1","3","4","4","1","7","","","","","1","1","1","4","","","","1","4","3","","3","3","1","1","1","1","3","","","","1","1","","","","1","1","1","","","","3","1","1","1","1","","","","","1","1","1","7","1","7","4","7","3","7","","4","","1","7","1","","1","1","1","1","1","1","7","1","1","","","1","1","1","3","3","1","4","1","7","","7","","1","1","7","","3","","4","4","7","","","1","4","1","1","","","","1","","1","4","4","7","","1","","","","","4","4","","3","4","7","7","1","7","7","1","","1","1","1","1","1","7","4","3","1","1","","","1","4","4","","1","","1","1","","1","1","","","1","1","4","1","7","4","1","","","1","","4","1","","4","1","4","1","4","3","","","1","","1","1","","3","","","","1","7","7","7","","7","1","1","1","1","4","4","","7","1","1","1","3","4","","7","4","4","1","1","7","1","1","","1","4","3","1","1","4","1","1","1","7","4","7","","1","3","","3","7","","4","","1","7","","","1","1","1","4","3","","1","1","1","4","4","","4","7","1","","1","1","7","","1","1","1","1","","","1","1","1","7","","","1","1","7","1","1","1","1","1","1","1","1","1","","1","","1","4","3","3","1","1","","1","Choice2","32","english","USA","","6","2"
"2HFULRGNTBJ3ZRA3MBG7S62KC60T7O","2FYCOW0LGRZ3LHOL28XVSUZWDD08ZC","Survey on Word Pair Relationship --Native English Speakers ONLY","We are interested in how related people find these pairs of words to be.","words, survey, simple","$1.00","Wed Oct 19 22:11:42 GMT 2011","20","","1800","604800","Wed Oct 26 22:11:42 GMT 2011","0","","247J51Y7QEOZS3NYI8JTROFY00BCFG","A3U4AGNRCEYZ3L","Approved","Wed Oct 19 22:30:05 GMT 2011","Wed Oct 19 22:51:34 GMT 2011","Wed Oct 26 15:51:34 PDT 2011","Thu Oct 20 09:17:24 PDT 2011","","","1289","100% (1/1)","100% (1/1)","0% (0/0)","1","1","1","1","7","7","7","1","1","7","7","7","1","1","7","7","7","1","1","7","1","7","7","7","1","1","1","7","7","7","7","1","1","7","7","1","1","1","1","7","1","7","7","7","1","1","1","7","7","7","1","1","1","7","7","1","1","1","1","1","1","7","7","7","1","1","1","1","7","1","7","7","7","7","7","7","1","7","1","7","1","7","1","1","1","7","1","1","7","1","1","7","7","1","1","1","7","7","1","7","7","7","7","7","7","7","7","7","1","1","1","7","1","7","1","1","1","7","1","1","7","1","1","1","7","7","7","1","7","7","7","7","7","7","7","7","7","7","7","7","7","7","1","7","7","7","1","1","1","1","1","1","7","7","7","7","1","7","7","1","7","7","7","7","7","1","7","7","1","1","7","7","1","1","7","1","7","7","1","7","7","7","7","7","1","7","7","1","7","1","7","1","7","4","1","7","1","1","7","7","7","7","7","1","7","7","7","1","7","","4","1","1","7","7","3","7","","1","1","","7","7","7","3","","1","4","7","1","1","","4","7","7","1","","7","7","7","1","7","7","7","1","1","","1","7","7","7","7","7","1","7","7","7","1","1","1","1","7","1","1","7","7","7","7","7","1","7","1","7","1","1","7","7","1","1","7","7","7","7","","1","1","7","7","7","1","7","7","1","1","1","1","1","1","1","1","1","7","1","7","7","7","7","1","1","7","7","1","Choice2","28","English","USA","7","","6"
"2HFULRGNTBJ3ZRA3MBG7S62KC60T7O","2FYCOW0LGRZ3LHOL28XVSUZWDD08ZC","Survey on Word Pair Relationship --Native English Speakers ONLY","We are interested in how related people find these pairs of words to be.","words, survey, simple","$1.00","Wed Oct 19 22:11:42 GMT 2011","20","","1800","604800","Wed Oct 26 22:11:42 GMT 2011","0","","254PWZ9RNDWI10YYOOE3ITGVAQKDS3","A1J7MH3054CL72","Approved","Wed Oct 19 23:12:16 GMT 2011","Wed Oct 19 23:12:42 GMT 2011","Wed Oct 26 16:12:42 PDT 2011","Thu Oct 20 09:17:25 PDT 2011","","","26","100% (1/1)","100% (1/1)","0% (0/0)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Choice1","Daryn","english","united states","","",""
"2HFULRGNTBJ3ZRA3MBG7S62KC60T7O","2FYCOW0LGRZ3LHOL28XVSUZWDD08ZC","Survey on Word Pair Relationship --Native English Speakers ONLY","We are interested in how related people find these pairs of words to be.","words, survey, simple","$1.00","Wed Oct 19 22:11:42 GMT 2011","20","","1800","604800","Wed Oct 26 22:11:42 GMT 2011","0","","25GK5UFJ51Y73JL5WUHS6CSUVBY8BO","A2AFAWJX5LTUVN","Approved","Wed Oct 19 22:15:34 GMT 2011","Wed Oct 19 22:41:59 GMT 2011","Wed Oct 26 15:41:59 PDT 2011","Thu Oct 20 09:17:25 PDT 2011","","","1585","100% (1/1)","100% (1/1)","0% (0/0)","1","3","7","","7","4","4","4","1","3","4","7","1","1","7","","4","4","7","7","3","3","","7","1","3","3","7","7","7","7","7","4","4","7","3","1","1","4","","4","4","7","7","","1","1","7","7","4","3","1","1","","7","7","3","3","4","1","1","7","7","7","","1","4","","7","1","7","","7","1","7","7","","7","1","7","1","7","1","1","1","7","","7","7","1","4","7","7","3","1","","7","4","1","7","","7","4","7","7","","7","7","7","4","4","7","4","7","3","3","1","","3","1","7","7","7","4","3","","7","7","7","3","3","7","","7","7","7","7","7","7","4","7","7","1","7","7","7","4","1","","7","3","1","7","7","7","","","7","7","1","7","","7","4","7","3","7","7","","3","7","7","1","1","4","7","7","7","3","7","4","7","4","7","7","7","7","1","","1","7","4","7","3","7","4","1","1","","7","7","7","7","3","7","3","7","1","7","1","4","1","1","","7","3","7","4","1","1","4","7","","7","4","7","1","4","7","1","1","1","7","","7","1","7","","4","","1","7","7","7","","1","4","4","7","7","","7","4","4","7","7","","","3","1","4","3","4","1","7","4","7","","","3","7","3","7","","3","7","7","1","4","4","7","4","4","1","","1","7","7","","","4","7","1","1","1","","7","7","3","4","","","1","7","4","7","7","","1","7","7","","Choice2","26","English","Germany","","2","5"
"2HFULRGNTBJ3ZRA3MBG7S62KC60T7O","2FYCOW0LGRZ3LHOL28XVSUZWDD08ZC","Survey on Word Pair Relationship --Native English Speakers ONLY","We are interested in how related people find these pairs of words to be.","words, survey, simple","$1.00","Wed Oct 19 22:11:42 GMT 2011","20","","1800","604800","Wed Oct 26 22:11:42 GMT 2011","0","","25H3TVOK5UFJI6VD7AFZKYQTAZB47R","A2A9LRDESYZDIW","Approved","Wed Oct 19 22:27:51 GMT 2011","Wed Oct 19 22:39:10 GMT 2011","Wed Oct 26 15:39:10 PDT 2011","Thu Oct 20 09:17:25 PDT 2011","","","679","100% (1/1)","100% (1/1)","0% (0/0)","1","","","","","","","","","","","","1","","","","","","","","","","","7","","","","","","","","","","","3","","","","","","","","","","","1","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","7","4","3","","","3","","","1","3","","","","","","","","","","1","","","","","","","","","","","7","","","","","","","","","","","1","","","","","","","","","","","3","","","","","","","","","","","","","","","","4","","3","7","","7","","1","","","7","7","7","","","","","7","7","","","","4","","","","","","","7","7","4","","","","1","1","7","","","","","7","7","","1","1","1","7","","","4","1","","1","","1","1","4","1","1","1","","","","","","","","","","","","1","Choice1","41","English","United States","7","","5"
"2HFULRGNTBJ3ZRA3MBG7S62KC60T7O","2FYCOW0LGRZ3LHOL28XVSUZWDD08ZC","Survey on Word Pair Relationship --Native English Speakers ONLY","We are interested in how related people find these pairs of words to be.","words, survey, simple","$1.00","Wed Oct 19 22:11:42 GMT 2011","20","","1800","604800","Wed Oct 26 22:11:42 GMT 2011","0","","25IVJ8EBDPGFYBSI6SQ9WNDXRBE0FB","A36MR5V1V3GMMR","Approved","Wed Oct 19 22:17:39 GMT 2011","Wed Oct 19 22:25:51 GMT 2011","Wed Oct 26 15:25:51 PDT 2011","Thu Oct 20 09:17:25 PDT 2011","","","492","100% (1/1)","100% (1/1)","0% (0/0)","1","4","1","4","7","4","1","4","7","4","1","4","7","7","4","1","4","7","4","1","4","7","4","3","1","4","7","4","1","4","7","4","1","4","3","7","4","1","4","7","4","1","4","7","4","4","1","4","7","4","1","4","7","4","1","4","3","7","4","1","4","7","4","1","4","7","4","7","1","4","7","4","1","4","7","4","1","4","4","7","4","1","4","7","4","1","4","7","4","4","1","4","7","4","1","4","7","4","1","4","7","7","4","1","4","7","4","1","4","7","4","3","4","1","4","7","4","1","4","7","","1","4","1","7","4","1","4","7","4","1","4","7","4","7","1","4","7","4","1","4","7","4","1","4","1","7","4","1","4","7","4","1","4","7","4","4","1","4","7","4","1","4","7","4","1","4","7","7","4","1","4","7","4","1","4","7","4","4","1","4","7","4","1","4","7","4","1","4","1","7","4","1","4","7","4","1","4","7","4","4","1","4","7","4","1","4","7","4","1","4","7","7","4","1","4","7","4","1","4","7","4","4","7","1","4","7","4","1","4","7","4","1","4","4","","3","1","4","7","4","1","4","7","4","4","1","4","7","4","1","4","7","4","1","4","7","7","4","1","4","7","","1","4","7","4","1","1","4","7","4","1","4","7","4","1","4","3","7","4","1","4","7","4","1","4","7","4","4","1","4","7","4","1","4","7","4","1","4","3","7","4","1","4","7","4","1","4","7","4","1","Choice1","28","english","USA","7","2","5"
"2HFULRGNTBJ3ZRA3MBG7S62KC60T7O","2FYCOW0LGRZ3LHOL28XVSUZWDD08ZC","Survey on Word Pair Relationship --Native English Speakers ONLY","We are interested in how related people find these pairs of words to be.","words, survey, simple","$1.00","Wed Oct 19 22:11:42 GMT 2011","20","","1800","604800","Wed Oct 26 22:11:42 GMT 2011","0","","26UDIPDOBDDPLUG21Q4DDXMCCDM0BT","ATN3YQYG9V9EN","Approved","Wed Oct 19 22:16:06 GMT 2011","Wed Oct 19 22:39:07 GMT 2011","Wed Oct 26 15:39:07 PDT 2011","Thu Oct 20 09:17:25 PDT 2011","","","1381","100% (2/2)","100% (2/2)","0% (0/0)","1","","1","","","7","7","","1","","","","1","1","","","","","1","","","1","","","1","1","","","","","1","","1","","7","","","","","","1","1","","","","1","1","","","","1","1","1","","","","7","1","","1","1","","","","1","1","1","","7","1","","","","","","","1","1","1","","1","","1","1","1","","1","","","1","1","","","","1","1","","","1","","","","","","","1","1","","","1","","","","","","1","1","","1","1","","","","","1","1","","","","","1","","","","7","","","","","","","","1","","","7","","1","1","1","","1","","","","1","7","","","1","","","","1","","","","7","","","","","","","","1","","","1","","","","","1","1","","","","","1","","","","1","1","","1","1","1","","7","","","1","","","","1","","1","","1","","","","","","","1","1","1","1","","7","1","","1","","","1","1","1","1","","7","1","1","","","","1","","","7","","1","","","","","","7","","1","","","7","1","1","1","","4","","1","1","","7","7","7","1","","1","","1","1","","","1","1","","","","","","","","","","1","1","1","","1","1","1","","1","1","1","","","1","1","","","","","1","1","","","","Choice2","46","english","usa","7","","6"
